X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,5,108,0,1
33,33,30,17,94,1,0.48322
33,33,30,6,108,0,1
33,33,30,25,37,1,0.22857
33,33,30,15,57,1,0.34091
33,33,30,18,17,1,0.39932
33,33,30,7,108,1,0.84498
33,33,30,18,94,1,0.4689
33,33,30,16,57,1,0.27364
33,33,30,8,108,1,0.73158
33,33,30,17,57,1,0.2518
33,33,30,21,77,1,0.31201
33,33,30,26,37,1,0.18283
33,33,30,19,17,1,0.39032
33,33,30,18,57,1,0.24457
33,33,30,9,108,1,0.70564
33,33,30,19,94,1,0.46226
33,33,30,22,77,1,0.33956
33,33,30,27,37,1,0.19532
33,33,30,20,94,1,0.39815
33,33,30,10,108,1,0.65438
33,33,30,19,57,1,0.23698
33,33,30,21,94,1,0.36307
33,33,30,23,77,1,0.27809
33,33,30,20,17,1,0.35144
33,33,30,20,57,1,0.2351
33,33,30,11,108,1,0.61947
33,33,30,22,94,1,0.31839
33,33,30,28,37,1,0.24209
33,33,30,12,108,1,0.62188
33,33,30,24,77,1,0.2807
33,33,30,21,57,1,0.2
33,33,30,13,108,1,0.56654
33,33,30,25,77,1,0.2058
33,33,30,21,17,1,0.297
33,33,30,14,108,1,0.55121
33,33,30,26,77,1,0.20315
33,33,30,15,108,1,0.53306
33,33,30,23,94,1,0.32158
33,33,30,27,77,1,0.18207
33,33,30,22,57,1,0.19192
33,33,30,16,108,1,0.45771
33,33,30,22,17,1,0.29885
33,33,30,29,37,1,0.25
33,33,30,17,108,1,0.45783
33,33,30,23,57,1,0.18211
33,33,30,23,17,1,0.29385
33,33,30,18,108,1,0.40066
33,33,30,24,57,1,0.20546
33,33,30,28,77,1,0.2033
33,33,30,25,57,1,0.18944
33,33,30,19,108,1,0.38762
33,33,30,26,57,1,0.17623
33,33,30,24,17,1,0.25595
33,33,30,27,57,1,0.18308
33,33,30,25,17,1,0.25248
33,33,30,20,108,1,0.36071
33,33,30,26,17,1,0.24542
33,33,30,29,77,1,0.22132
33,33,30,28,57,1,0.21053
33,33,30,27,17,1,0.20699
33,33,30,21,108,1,0.31563
33,33,30,24,94,1,0.25344
33,33,30,25,94,1,0.25619
33,33,30,30,37,1,0.23681
33,33,30,28,17,1,0.2086
33,33,30,3,36,0,1
33,33,30,22,108,1,0.31655
33,33,30,4,36,1,0.77778
33,33,30,26,94,1,0.22774
33,33,30,5,36,1,0.59416
33,33,30,23,108,1,0.27827
33,33,30,29,57,1,0.21514
33,33,30,27,94,1,0.20477
33,33,30,6,36,1,0.54381
33,33,30,30,77,1,0.23681
33,33,30,7,36,1,0.47651
33,33,30,24,108,1,0.26844
33,33,30,3,76,0,1
33,33,30,4,76,0,1
33,33,30,28,94,1,0.16253
33,33,30,8,36,1,0.45
33,33,30,5,76,1,0.85142
33,33,30,25,108,1,0.22222
33,33,30,6,76,0,1
33,33,30,9,36,1,0.45584
33,33,30,7,76,0,1
33,33,30,29,17,1,0.21244
33,33,30,26,108,1,0.1686
33,33,30,8,76,1,0.81377
33,33,30,9,76,0,1
33,33,30,10,36,1,0.35097
33,33,30,10,76,1,0.68571
33,33,30,27,108,1,0.2156
33,33,30,11,36,1,0.34343
33,33,30,11,76,1,0.67373
33,33,30,29,94,1,0.23957
33,33,30,12,36,1,0.30318
33,33,30,30,57,1,0.23681
33,33,30,3,56,0,1
33,33,30,12,76,1,0.62651
33,33,30,4,56,0,1
33,33,30,13,36,1,0.33636
33,33,30,5,56,0,1
33,33,30,28,108,1,0.18868
33,33,30,6,56,1,0.70648
33,33,30,14,36,1,0.27506
33,33,30,7,56,1,0.57419
33,33,30,13,76,1,0.6044
33,33,30,15,36,1,0.25767
33,33,30,8,56,1,0.49704
33,33,30,9,56,1,0.464
33,33,30,16,36,1,0.23228
33,33,30,10,56,1,0.42021
33,33,30,14,76,1,0.55535
33,33,30,30,17,1,0.23681
33,33,30,11,56,1,0.42632
33,33,30,17,36,1,0.22201
33,33,30,3,16,0,1
33,33,30,4,16,0,1
33,33,30,12,56,1,0.36782
33,33,30,18,36,1,0.23427
33,33,30,5,16,0,1
33,33,30,15,76,1,0.52465
33,33,30,13,56,1,0.41697
33,33,30,30,94,1,0.23681
33,33,30,6,16,0,1
33,33,30,14,56,1,0.34711
33,33,30,19,36,1,0.1651
33,33,30,3,93,0,1
33,33,30,7,16,1,0.7867
33,33,30,16,76,1,0.4635
33,33,30,4,93,0,1
33,33,30,8,16,1,0.73737
33,33,30,15,56,1,0.32207
33,33,30,5,93,1,0.85714
33,33,30,9,16,1,0.74686
33,33,30,6,93,0,1
33,33,30,16,56,1,0.29644
33,33,30,20,36,1,0.20962
33,33,30,10,16,1,0.67664
33,33,30,7,93,1,0.84233
33,33,30,17,76,1,0.46942
33,33,30,17,56,1,0.28064
33,33,30,11,16,1,0.64815
33,33,30,29,108,1,0.1771
33,33,30,8,93,1,0.76923
33,33,30,18,76,1,0.44623
33,33,30,12,16,1,0.61538
33,33,30,18,56,1,0.23308
33,33,30,21,36,1,0.19835
33,33,30,9,93,1,0.76253
33,33,30,19,56,1,0.24694
33,33,30,10,93,1,0.7239
33,33,30,13,16,1,0.6
33,33,30,22,36,1,0.2451
33,33,30,14,16,1,0.57312
33,33,30,19,76,1,0.3928
33,33,30,11,93,1,0.68354
33,33,30,20,56,1,0.19753
