X,Y,Major,Minor,Rotation,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
33,33,30,14,18,2,0.043367,3,0.17582,1,0.15122
33,33,30,10,38,3,0.16272,4,0.21607,1,0.36404
33,33,30,13,58,1,0.15176,2,0.21634,1,0.14251
33,33,30,14,109,2,0.079404,2,0.16253,1,0.1068
33,33,30,9,95,2,0.17667,1,0.24779,1,0.23729
33,33,30,10,78,3,0.1971,1,0.18911,1,0.16981
33,33,30,15,18,1,0.15,10,0.2345,1,0.13647
33,33,30,15,109,2,0.16352,2,0.2004,1,0.10478
33,33,30,11,38,3,0.19098,2,0.23559,1,0.15556
33,33,30,14,58,3,0.15046,2,0.16777,1,0.10577
33,33,30,10,95,1,0.13468,2,0.21652,1,0.17073
33,33,30,11,78,3,0.19061,1,0.21594,1,0.12607
33,33,30,16,18,2,0.11925,2,0.15631,1,0.2437
33,33,30,15,58,3,0.19478,4,0.24197,1,0.098592
33,33,30,16,109,3,0.1523,2,0.1523,1,0.088889
33,33,30,12,38,1,0.075802,2,0.18546,1,0.14439
33,33,30,11,95,1,0.13056,4,0.28842,1,0.10366
33,33,30,12,78,1,0.1185,2,0.20823,1,0.10112
33,33,30,17,18,1,0.089552,8,0.22281,1,0.12821
