N,SNR-Theoretical,SNR-Real,POD:Jaqqard,POD:Time,PODH:Jaqqard,PODH:Time,Hough:Jaqqard,Hough:Time
5,7,8.954,0.98313,6.0636,0.98357,15.2388,0.99795,497.0516
6,7,8.9622,0.98268,6.0249,0.98344,15.5411,0.97839,465.7211
7,7,8.9836,0.98345,5.9942,0.98362,15.0164,0.97561,386.1568
8,7,8.8942,0.98336,5.9557,0.9835,15.5549,1,318.4504
9,7,9.1073,0.98356,6.1876,0.98358,15.2631,1,355.5105
10,7,8.9236,0.98274,6.0682,0.98351,15.3338,0.97242,318.4365
1,6,8.3827,0.98289,6.116,0.98344,13.1605,0.98312,455.7256
2,6,8.1775,0.98325,6.0845,0.98298,15.3608,0.96064,334.6181
3,6,8.2506,0.98313,6.1665,0.98271,16.0068,1,549.6307
4,6,8.3701,0.983,6.0664,0.98354,15.324,1,692.8542
5,6,8.3389,0.98299,6.0278,0.98332,15.3402,0.96986,467.191
6,6,8.6069,0.98324,5.991,0.98336,15.5459,1,473.1751
7,6,8.5221,0.98328,5.9759,0.98352,15.597,1,703.835
8,6,8.3416,0.9834,5.8456,0.98338,12.9529,0.96836,533.4049
9,6,8.2169,0.98361,5.8252,0.9835,14.776,0.93255,464.2547
10,6,8.4194,0.98356,5.8781,0.98327,14.9913,1,324.0235
1,5,8.3083,0.98318,5.8404,0.98359,15.2598,0.99866,470.523
2,5,7.9858,0.98334,5.8006,0.98306,12.425,1,388.8762
3,5,8.1731,0.98352,5.8441,0.98364,15.0048,0.96345,348.2234
4,5,8.3786,0.98354,5.8045,0.98342,14.9265,0.99636,506.0128
5,5,8.0887,0.98324,5.8606,0.98357,14.8583,0.92957,572.7121
6,5,8.0436,0.98289,5.9955,0.98342,15.3855,1,437.7748
7,5,8.1831,0.98339,6.0006,0.98344,15.1912,0.96122,510.9063
8,5,8.0719,0.98327,6.0475,0.98359,15.0949,0.99961,429.1171
9,5,8.0936,0.98312,6.0223,0.9841,16.0815,0.93343,509.7949
10,5,8.1841,0.98326,6.1222,0.98307,16.3018,0.9729,434.3012
1,4,7.6967,0.98353,6.06,0.9831,15.7783,0.96741,454.6504
2,4,7.8951,0.98311,5.9838,0.98352,15.9532,0.9767,516.8853
3,4,7.8988,0.98288,5.9892,0.98354,15.6304,1,435.7465
4,4,7.5903,0.98324,5.9715,0.98351,15.7104,0.99338,696.2925
5,4,7.6581,0.98348,5.9325,0.98344,15.7917,0.98893,466.4509
6,4,7.7019,0.98337,5.965,0.98352,13.9255,0.94327,494.9776
7,4,7.8514,0.98351,6.0154,0.98361,16.1584,0.99077,401.8099
8,4,7.8638,0.98325,6.0676,0.98316,15.372,0.99674,464.7902
9,4,8.1208,0.98318,5.927,0.98338,15.7317,1,562.4663
10,4,7.7143,0.98331,5.9737,0.98357,16.1173,0.95891,445.9947
1,3,7.6085,0.98347,6.0073,0.98329,15.3531,0.97775,443.3962
2,3,7.699,0.98318,5.9764,0.98333,14.7629,0.93037,686.2914
3,3,7.5824,0.98324,6.1087,0.9833,15.1843,0.9962,489.6134
4,3,7.6569,0.98328,6.0747,0.98364,15.7875,0.96664,441.4934
5,3,7.844,0.98332,6.1317,0.98333,16.2968,0.9961,573.6424
6,3,7.7257,0.9835,6.4093,0.98338,16.4772,0.95388,786.6562
