distx,disty,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
-58,-61,2,0.22082,6,0.12625,2,0.12075
-10,-62,4,0.39697,8,0.14931,2,0.1277
-34,-59,2,0.22082,6,0.12625,1,0.52871
10,-67,4,0.41716,6,0.12625,2,0.18159
26,-61,5,0.4022,6,0.12625,1,0.53114
-82,-56,2,0.23902,8,0.14931,2,0.093441
-58,-60,2,0.23902,8,0.14931,2,0.11341
-34,-58,2,0.23902,8,0.14931,2,0.12084
-10,-61,4,0.38913,6,0.12625,2,0.13386
26,-60,4,0.38844,8,0.14931,1,0.53545
10,-66,4,0.41471,8,0.14931,2,0.16583
-82,-55,2,0.22082,6,0.12625,2,0.11364
-58,-59,2,0.22082,6,0.12625,2,0.16753
26,-59,4,0.38606,6,0.12625,1,0.53114
-10,-60,4,0.38694,8,0.14931,2,0.17633
-34,-57,2,0.22082,6,0.12625,2,0.085509
-82,-54,2,0.23902,8,0.14931,2,0.093778
10,-65,4,0.40871,6,0.12625,2,0.19837
-58,-58,2,0.23902,8,0.14931,2,0.15199
-10,-59,5,0.37826,6,0.12625,2,0.1841
26,-58,5,0.40024,8,0.14931,1,0.51217
-82,-53,2,0.22082,6,0.12625,2,0.11538
-34,-56,2,0.23902,8,0.14931,2,0.13644
10,-64,4,0.40632,8,0.14931,2,0.1925
-10,-58,5,0.37618,8,0.14931,2,0.33098
-58,-57,2,0.22082,6,0.12625,2,0.084239
-34,-55,3,0.30737,6,0.12625,2,0.12129
26,-57,5,0.39217,6,0.12625,2,0.13257
-82,-52,2,0.23902,8,0.14931,2,0.097649
-10,-57,5,0.36658,6,0.12625,2,0.22446
10,-63,4,0.39926,6,0.12625,2,0.13139
26,-56,5,0.38844,8,0.14931,2,0.18503
-58,-56,2,0.23902,8,0.14931,2,0.10369
-82,-51,2,0.22082,6,0.12625,2,0.090164
-34,-54,4,0.34797,8,0.14931,2,0.12175
-58,-55,2,0.22082,6,0.12625,2,0.12738
-10,-56,5,0.36462,8,0.13959,2,0.24724
26,-55,5,0.37984,6,0.12625,1,0.54815
-82,-50,2,0.23902,8,0.14931,2,0.094118
-34,-53,4,0.33785,6,0.12625,2,0.28192
10,-62,4,0.39697,8,0.14931,2,0.18354
26,-54,4,0.36462,8,0.14931,2,0.17487
-58,-54,2,0.23902,8,0.14931,2,0.10142
-82,-49,2,0.22082,6,0.12625,2,0.079817
-34,-52,4,0.33087,8,0.14931,2,0.24292
-10,-55,5,0.35446,7,0.12552,2,0.26179
-58,-53,2,0.22082,6,0.12625,2,0.1619
26,-53,4,0.35531,6,0.12625,2,0.26787
-82,-48,2,0.23902,8,0.14931,2,0.094891
10,-61,4,0.38913,6,0.12625,2,0.12182
-34,-51,4,0.31989,6,0.12625,2,0.21117
-10,-54,6,0.37461,11,0.16349,2,0.25182
-82,-47,2,0.22082,6,0.12625,2,0.12421
-34,-50,5,0.37735,8,0.14931,1,0.54086
26,-52,4,0.35348,9,0.14931,2,0.18353
-58,-52,2,0.23902,8,0.14931,2,0.1008
-10,-53,4,0.42466,12,0.16132,2,0.31156
10,-60,4,0.38694,8,0.14931,2,0.17057
-82,-46,2,0.23902,8,0.14931,2,0.098004
-34,-49,5,0.37826,6,0.12625,2,0.2508
26,-51,4,0.34362,7,0.12625,1,0.54278
-58,-51,2,0.22082,6,0.12625,2,0.15351
-10,-52,4,0.41449,5,0.53415,1,0.57103
-82,-45,2,0.22082,6,0.12625,2,0.17324
26,-50,9,0.4006,8,0.14169,1,0.55565
-34,-48,6,0.37184,8,0.14931,2,0.14571
10,-59,5,0.37826,6,0.12625,2,0.14348
26,-49,8,0.39741,7,0.12552,1,0.53654
-82,-44,2,0.23902,8,0.14931,2,0.13001
-58,-50,2,0.23902,8,0.14931,2,0.1346
-10,-51,4,0.412,5,0.52915,2,0.16202
-34,-47,6,0.36411,6,0.12625,2,0.27707
26,-48,7,0.38352,9,0.15273,1,0.55463
10,-58,5,0.37618,8,0.14931,2,0.1913
-82,-43,2,0.22082,6,0.12625,2,0.1347
-10,-50,3,0.3871,5,0.52734,2,0.20067
-58,-49,2,0.22082,6,0.12625,2,0.18692
-34,-46,5,0.36054,9,0.14794,2,0.24135
26,-47,7,0.3814,10,0.14204,1,0.54044
-10,-49,3,0.39127,5,0.5205,2,0.20771
-82,-42,2,0.23902,8,0.14931,2,0.1375
-58,-48,2,0.23902,8,0.14931,2,0.14742
-34,-45,7,0.36658,7,0.12552,2,0.19162
10,-57,5,0.36658,6,0.12625,2,0.20707
-10,-48,3,0.38317,5,0.52004,2,0.20889
-58,-47,2,0.22082,6,0.12625,2,0.20329
26,-46,8,0.38376,7,0.14041,2,0.16494
-82,-41,2,0.22082,6,0.12625,2,0.12627
-34,-44,6,0.35765,8,0.14448,2,0.2332
10,-56,5,0.36462,8,0.13959,2,0.22797
-82,-40,2,0.23902,8,0.14931,2,0.098361
-10,-47,3,0.38472,5,0.51395,2,0.136
-34,-43,6,0.35189,8,0.13636,2,0.47297
26,-45,6,0.41875,9,0.1452,2,0.33769
-58,-46,2,0.23902,8,0.14931,2,0.16007
-34,-42,6,0.34583,9,0.14379,2,0.28272
-82,-39,2,0.22082,6,0.12625,2,0.095628
-10,-46,4,0.39932,5,0.51439,2,0.16357
26,-44,5,0.40724,7,0.13674,1,0.53448
10,-55,5,0.35446,7,0.12552,1,0.57461
-34,-41,5,0.34605,8,0.13648,2,0.5987
-58,-45,2,0.22082,6,0.12625,2,0.15813
-82,-38,2,0.23902,8,0.14931,2,0.10507
-10,-45,3,0.37934,6,0.5,2,0.18503
-34,-40,6,0.35056,10,0.14541,1,0.55181
26,-43,5,0.39719,8,0.13595,1,0.55147
-82,-37,2,0.22082,6,0.12625,2,0.13315
-34,-39,5,0.34873,9,0.13549,2,0.41672
-58,-44,2,0.23902,8,0.14931,2,0.097297
-10,-44,3,0.37155,6,0.49775,2,0.20983
10,-54,6,0.37461,11,0.16349,2,0.66208
26,-42,6,0.39735,5,0.13105,2,0.41981
-34,-38,4,0.33423,10,0.14251,2,0.32275
-10,-43,3,0.37472,6,0.49132,2,0.17921
-82,-36,2,0.23902,8,0.14931,2,0.093948
-58,-43,2,0.22082,6,0.12625,2,0.16945
-10,-42,3,0.36674,9,0.45336,2,0.22427
26,-41,5,0.39402,5,0.12881,2,0.43292
-34,-37,4,0.32213,9,0.13171,2,0.38128
10,-53,4,0.42466,12,0.16132,2,0.48735
-82,-35,2,0.22082,6,0.12625,2,0.24539
26,-40,5,0.3908,5,0.51037,1,0.52936
-10,-41,4,0.3875,8,0.44523,2,0.19474
-34,-36,4,0.32577,11,0.14191,2,0.37555
-58,-42,2,0.23902,8,0.14931,2,0.12667
26,-39,5,0.39438,6,0.48285,1,0.50642
-82,-34,2,0.23902,8,0.14931,2,0.16515
-10,-40,4,0.38109,7,0.47702,2,0.20515
10,-52,4,0.41449,5,0.53415,2,0.26252
26,-38,4,0.38211,6,0.47975,1,0.50406
-34,-35,5,0.32703,13,0.14689,2,0.53078
-82,-33,2,0.22082,6,0.12625,1,0.53211
-58,-41,2,0.22082,6,0.12625,2,0.18519
-10,-39,4,0.37842,8,0.46878,2,0.22534
-34,-34,5,0.31863,12,0.14499,2,0.46387
26,-37,3,0.38217,9,0.47132,1,0.49717
-10,-38,4,0.37176,9,0.42741,1,0.55317
10,-51,4,0.412,5,0.52915,2,0.18072
-82,-32,2,0.23902,8,0.14931,2,0.13836
26,-36,3,0.38877,8,0.46861,2,0.56372
-34,-33,5,0.31883,11,0.13413,2,0.33827
-58,-40,2,0.23902,8,0.14931,2,0.16523
-10,-37,4,0.37315,9,0.41865,2,0.26771
10,-50,3,0.3871,5,0.52734,2,0.22588
-10,-36,4,0.36706,9,0.41468,1,0.55203
26,-35,4,0.38735,9,0.45919,1,0.5095
-34,-32,5,0.31,12,0.14595,2,0.18957
-82,-31,2,0.22082,6,0.12625,2,0.13364
-10,-35,4,0.36969,9,0.40651,2,0.20052
-58,-39,2,0.22082,6,0.12625,2,0.19449
10,-49,3,0.39127,5,0.5205,2,0.20149
26,-34,4,0.37034,9,0.45504,1,0.50775
-34,-31,4,0.29372,11,0.13504,2,0.21061
-10,-34,4,0.36648,9,0.40093,2,0.22053
-82,-30,2,0.23902,8,0.14931,2,0.13725
10,-48,3,0.38317,5,0.52004,2,0.15472
-34,-30,3,0.29993,12,0.1455,1,0.51583
26,-33,4,0.35971,10,0.44665,1,0.48871
-10,-33,4,0.3676,9,0.39242,2,0.26958
-58,-38,2,0.23902,8,0.14931,2,0.15162
26,-32,3,0.35762,9,0.44243,1,0.48132
-34,-29,3,0.28971,12,0.13967,2,0.38815
10,-47,3,0.38472,5,0.51395,2,0.21405
-10,-32,4,0.35957,9,0.38762,2,0.26076
-82,-29,2,0.22082,6,0.12625,2,0.11121
-34,-28,3,0.28807,13,0.15873,2,0.28435
10,-46,4,0.39932,5,0.51439,2,0.20425
26,-31,3,0.3506,9,0.43343,1,0.48107
-10,-31,4,0.36217,10,0.18223,2,0.24211
-58,-37,2,0.22082,6,0.12625,2,0.15606
-34,-27,4,0.29139,14,0.16105,2,0.32425
-82,-28,2,0.23902,8,0.14931,2,0.13499
26,-30,3,0.34723,7,0.42949,1,0.46564
10,-45,3,0.37934,6,0.5,2,0.19395
-10,-30,4,0.3572,16,0.19073,2,0.20796
-34,-26,4,0.2916,9,0.45504,2,0.17509
26,-29,2,0.30898,5,0.45769,2,0.48229
-10,-29,3,0.33516,13,0.17238,1,0.50053
-82,-27,2,0.22082,6,0.12625,2,0.15891
10,-44,3,0.37155,6,0.49775,2,0.24318
-58,-36,2,0.23902,8,0.14931,2,0.14698
-34,-25,3,0.27484,15,0.41161,2,0.27916
26,-28,2,0.3027,5,0.45568,1,0.44637
-10,-28,3,0.32965,18,0.18887,1,0.46318
10,-43,3,0.37472,6,0.49132,2,0.23619
-82,-26,2,0.23902,8,0.14931,2,0.17369
-58,-35,2,0.22082,6,0.12625,2,0.14681
-34,-24,4,0.27631,9,0.45208,2,0.26926
26,-27,3,0.33736,25,0.18362,2,0.32409
-10,-27,3,0.32183,19,0.19373,2,0.14607
10,-42,3,0.36674,9,0.45288,2,0.21494
-82,-25,2,0.22082,6,0.12625,2,0.12602
-34,-23,3,0.25892,21,0.18698,2,0.22313
-10,-26,3,0.31614,18,0.17379,2,0.16258
26,-26,2,0.3191,36,0.1906,2,0.35511
-58,-34,2,0.23902,8,0.14931,2,0.13357
10,-41,4,0.3875,8,0.44474,2,0.33522
-10,-25,3,0.30798,17,0.18025,1,0.23687
-34,-22,2,0.23946,8,0.42818,2,0.21617
26,-25,2,0.31218,37,0.20154,1,0.43813
-82,-24,2,0.23902,8,0.14931,2,0.078182
-10,-24,2,0.28075,13,0.16585,1,0.24318
-58,-33,2,0.22082,6,0.12625,2,0.18954
10,-40,4,0.38109,7,0.47654,2,0.18277
-34,-21,2,0.23169,40,0.23399,2,0.28759
26,-24,1,0.33714,5,0.4396,2,0.43052
-82,-23,2,0.22082,6,0.12625,2,0.20187
-10,-23,2,0.27337,18,0.17572,2,0.16958
-34,-20,3,0.21417,11,0.39786,2,0.28235
26,-23,1,0.33008,20,0.18044,2,0.32012
10,-39,4,0.37795,8,0.46828,2,0.23778
-58,-32,4,0.28292,8,0.14931,2,0.23852
-10,-22,2,0.25131,23,0.18866,2,0.17134
-34,-19,2,0.21917,38,0.29265,2,0.30008
-82,-22,2,0.23902,8,0.14931,2,0.1
26,-22,2,0.29789,18,0.17531,2,0.35273
10,-38,4,0.37128,9,0.4269,2,0.23408
-10,-21,2,0.2431,18,0.18008,1,0.20909
-34,-18,3,0.21754,9,0.40478,2,0.32137
-58,-31,4,0.28677,6,0.12625,2,0.23612
26,-21,1,0.32507,40,0.20455,2,0.29063
-82,-21,2,0.22082,6,0.12625,2,0.25041
-10,-20,1,0.28205,25,0.18838,1,0.20862
10,-37,4,0.37315,9,0.41812,1,0.5054
-34,-17,2,0.19657,30,0.28518,2,0.24625
26,-20,2,0.2695,35,0.19665,1,0.41068
-10,-19,1,0.27597,13,0.17274,1,0.22986
10,-36,4,0.36507,9,0.41414,2,0.83894
-34,-16,4,0.16161,8,0.36864,2,0.3491
-58,-30,6,0.30791,8,0.14931,2,0.20084
-82,-20,2,0.23902,8,0.14931,2,0.11439
-10,-18,1,0.27015,18,0.19388,1,0.25149
26,-19,1,0.30459,38,0.21002,2,0.28535
10,-35,4,0.36715,9,0.40596,1,0.51029
-34,-15,4,0.15588,29,0.30374,2,0.34727
-10,-17,1,0.26571,17,0.18076,1,0.21765
10,-34,4,0.36597,9,0.40037,1,0.50765
-58,-29,4,0.29818,6,0.12625,2,0.20233
26,-18,2,0.25741,16,0.18033,2,0.31399
-82,-19,2,0.22082,6,0.12625,2,0.17738
-34,-14,4,0.14795,11,0.35294,2,0.39472
10,-33,4,0.36708,9,0.39184,1,0.54232
-10,-16,1,0.26275,22,0.19729,1,0.2087
26,-17,2,0.24906,10,0.17549,2,0.30819
-58,-28,6,0.30444,8,0.14931,2,0.25581
-34,-13,3,0.14111,39,0.28808,2,0.60147
